iter	MultiClass
144	0.2462032729
145	0.2452591474
146	0.2438560001
147	0.2429677561
148	0.2424929236
149	0.2417139372
150	0.2411965874
151	0.240187053
152	0.2395141026
153	0.2387470131
154	0.237782177
155	0.2370846867
156	0.2362927447
157	0.2358824105
158	0.2351814439
159	0.2347692514
160	0.2340819402
161	0.2334026076
162	0.2325824291
163	0.2317957937
164	0.2313366485
165	0.2304755168
166	0.2294113585
167	0.228645416
168	0.2282354987
169	0.2277908691
170	0.2272666543
171	0.2266397658
172	0.2259904707
173	0.2253262817
174	0.2247265925
175	0.2241564935
176	0.2236686126
177	0.2229648679
178	0.2223036825
179	0.2215219026
180	0.2209838852
181	0.2204049164
182	0.2196748783
183	0.2191954784
184	0.2187386909
185	0.2183014284
186	0.2179280536
187	0.2172921332
188	0.216686116
189	0.216229534
190	0.2156035301
191	0.2152718862
192	0.2144170735
193	0.2136371477
194	0.2131327867
195	0.2123314162
196	0.2116767808
197	0.2111956037
198	0.2105453664
199	0.2099318273
200	0.209437434
201	0.2090632304
202	0.2086780515
203	0.2081953624
204	0.2071413099
205	0.2065610166
206	0.2061777047
207	0.2055045757
208	0.2049564823
209	0.2045467524
210	0.2040740275
211	0.2034886327
212	0.2029326654
213	0.2024295196
214	0.2021118528
215	0.2015973833
216	0.2012102206
217	0.2007729667
218	0.1999849143
219	0.1995031579
220	0.1990632824
221	0.1986151688
222	0.1982965677
223	0.1977239921
224	0.1970948614
225	0.1966722172
226	0.1963734213
227	0.1960698831
228	0.1957984262
229	0.1952380505
230	0.1948097756
231	0.1944444536
232	0.1939777239
233	0.1935740738
234	0.1931967535
235	0.1929755975
236	0.1925261777
237	0.1920233581
238	0.191501229
239	0.1911382548
240	0.1905866206
241	0.1899957283
242	0.1897290873
243	0.1893088343
244	0.1888056796
245	0.1881670041
246	0.1878431175
247	0.1874589922
248	0.1868973213
249	0.186393639
250	0.1859743465
251	0.1856736452
252	0.1851287306
253	0.1847424391
254	0.184370447
255	0.1839072991
256	0.1834815975
257	0.1832540178
258	0.1828968956
259	0.1825072307
260	0.1820876434
261	0.1816601992
262	0.1813681662
263	0.1810381567
264	0.1807178056
265	0.180493799
266	0.1799137925
267	0.179545377
268	0.1793820465
269	0.1791842176
270	0.1787672457
271	0.1783530256
272	0.1780218997
273	0.1776075552
274	0.1773946444
275	0.1771819848
276	0.1767772472
277	0.1763883253
278	0.1759388366
279	0.1754840769
280	0.1751441407
281	0.1747277064
282	0.1744258609
283	0.1739345767
284	0.1736107038
285	0.1734183873
286	0.1731093336
287	0.1726479389
288	0.1722763244
289	0.1720100441
290	0.1718146578
291	0.17157212
292	0.1713536595
293	0.1708831886
294	0.1705609055
295	0.1702172943
296	0.1696533599
297	0.1694874834
298	0.1692654312
299	0.1688413072
300	0.1684552193
301	0.1681603508
302	0.1677336421
303	0.1672027615
304	0.1669269331
305	0.1665828796
306	0.1660914496
307	0.1657684985
308	0.1654969846
309	0.1653167071
310	0.165105037
311	0.1648358112
312	0.1646557891
313	0.1643496504
314	0.164161398
315	0.1639030537
316	0.1637039287
317	0.1634433169
318	0.1632536585
319	0.1629836627
320	0.1627641714
321	0.1623671754
322	0.1621521463
323	0.1618591131
324	0.1616173374
325	0.161297705
326	0.161070218
327	0.1605930194
328	0.1603597906
329	0.1601414803
330	0.1598491631
331	0.1596265558
332	0.1593615287
333	0.1590792368
334	0.1587158812
335	0.1585807014
336	0.1582688991
337	0.1580682376
338	0.1576277992
339	0.1573861024
340	0.1571096525
341	0.1568860072
342	0.1566631001
343	0.1563810802
344	0.1562436866
345	0.1559531465
346	0.1557296851
347	0.1554176033
348	0.1552456029
349	0.1549801804
350	0.1547158129
351	0.1543679955
352	0.1540769746
353	0.1538519799
354	0.1536953862
355	0.1533576991
356	0.1531041796
357	0.1529408564
358	0.1526395541
359	0.1523194267
360	0.1520001986
361	0.1516867504
362	0.1514655385
363	0.1511451492
364	0.1508866324
365	0.1506710697
366	0.1505824958
367	0.1502772173
368	0.1499496249
369	0.1497258799
370	0.1495195104
371	0.1493188924
372	0.149134636
373	0.148862678
374	0.148628387
375	0.1482970805
376	0.148102331
377	0.1478458177
378	0.1476722296
379	0.1475114238
380	0.1474264067
381	0.1471315845
382	0.1467377292
383	0.1464329585
384	0.1462700264
385	0.1460178799
386	0.1458491167
387	0.1457086358
388	0.1454047775
389	0.1451576383
390	0.1449070809
391	0.1446126707
392	0.1443841509
393	0.1441543705
394	0.1439438117
395	0.1437992751
396	0.1435530517
397	0.143306698
398	0.143072984
399	0.1427896341
400	0.1425830705
401	0.1422999289
402	0.1420344047
403	0.1419051134
404	0.1416418666
405	0.1414842621
406	0.1413089147
407	0.1411416937
408	0.1408350396
409	0.1407157284
410	0.1405430113
411	0.1402972897
412	0.1401195843
413	0.139947367
414	0.1397256238
415	0.139611438
416	0.1394905719
417	0.1392898552
418	0.1390963498
419	0.1389333093
420	0.1386070358
421	0.1383390574
422	0.1382150614
423	0.1380571113
424	0.1378181021
425	0.1377340268
426	0.137577597
427	0.1373043081
428	0.1370537891
429	0.1368863803
430	0.1365747051
431	0.1362817237
432	0.1360866484
433	0.1358800906
434	0.1357867326
435	0.1356068622
436	0.1354756908
437	0.1352493664
438	0.135103908
439	0.1349750529
440	0.1348413579
441	0.1346970068
442	0.1344762919
443	0.1343034918
444	0.1341341109
445	0.1339062723
446	0.1337756016
447	0.1335639829
448	0.1333410384
449	0.1331292495
450	0.1330383889
451	0.1328543877
452	0.1326607305
453	0.1324688446
454	0.1323393778
455	0.1321804626
456	0.1318837827
457	0.1317532074
458	0.1315644914
459	0.1313972427
460	0.1312177624
461	0.1310121998
462	0.130814443
463	0.1306960407
464	0.1305120111
465	0.1302851038
466	0.1301242382
467	0.129914489
468	0.1298004426
469	0.1297374763
470	0.1294846786
471	0.1292810171
472	0.1291828904
473	0.1289841606
474	0.1288246165
475	0.1287198658
476	0.1284326988
477	0.1282179118
478	0.1280723601
479	0.1280026178
480	0.1278329236
481	0.1276405804
482	0.1274915377
483	0.1273427897
484	0.1272117972
485	0.1270441921
486	0.1269321047
487	0.1267647469
488	0.1266002471
489	0.126435294
490	0.1263010039
491	0.1262261552
492	0.1261482675
493	0.1260306939
494	0.1258709977
495	0.1257469519
496	0.1255639265
497	0.1253612296
498	0.1251712576
499	0.1250403413
500	0.1248996961
501	0.1247764054
502	0.1246787895
503	0.1245340907
504	0.1244624077
505	0.1243887549
506	0.1242482032
507	0.1241816055
508	0.1239894762
509	0.1238366253
510	0.1236887998
511	0.1235922185
512	0.1233679949
513	0.1232381363
514	0.1231551969
515	0.1229283807
516	0.1228442932
517	0.122692185
518	0.1226190738
519	0.1224704503
520	0.1223359245
521	0.122213526
522	0.1220961148
523	0.1218960992
524	0.1216922429
525	0.1215923294
526	0.1214526548
527	0.1213646365
528	0.1212785315
529	0.1210687171
530	0.1209869346
531	0.1207944345
532	0.120691214
533	0.1205343686
534	0.1203844272
535	0.1202414911
536	0.1200838013
537	0.11999454
538	0.1198825631
539	0.119747228
540	0.1196071413
541	0.1195057296
542	0.1193305933
543	0.1192502409
544	0.1191170865
545	0.1188881753
546	0.1187697461
547	0.1186215406
548	0.1184982497
549	0.1183785128
550	0.1183193377
551	0.1181290611
552	0.1180589234
553	0.1178616017
554	0.1177418121
555	0.1176142437
556	0.1175437162
557	0.117469769
558	0.1173634434
559	0.1172218622
560	0.1171051193
561	0.1169973874
562	0.1168142723
563	0.1167337345
564	0.1166208203
565	0.1165164665
566	0.116338651
567	0.1162643357
568	0.1161788232
569	0.1160608651
570	0.1159533751
571	0.115877271
572	0.1156677031
573	0.1155164961
574	0.1153539077
575	0.1153079819
576	0.1151488246
577	0.1150787608
578	0.1149762196
579	0.114898512
580	0.1148390977
581	0.1147102587
582	0.1146583437
583	0.1145593484
584	0.1144404082
585	0.1142809044
586	0.1141449002
587	0.1139997904
588	0.1138681393
589	0.113800521
590	0.1137305318
591	0.1135571222
592	0.1134311879
593	0.1133323878
594	0.1132493606
595	0.1131740334
596	0.1129495768
597	0.1128020357
598	0.1126286577
599	0.1125384374
600	0.112476468
601	0.1124059902
602	0.1122953949
603	0.1121743891
604	0.1120553099
605	0.1119165897
606	0.1118228341
607	0.1116636256
608	0.1115781896
609	0.111491391
610	0.1113757523
611	0.1112386928
612	0.1111457031
613	0.1110496199
614	0.1109354941
615	0.1108509864
616	0.1107535979
617	0.1106339088
618	0.1104992135
619	0.1104158573
620	0.1102896277
621	0.1101802055
622	0.1100875645
623	0.1100225913
624	0.1098712625
625	0.1097219712
626	0.1096277223
627	0.1095547302
628	0.1095122912
629	0.10942004
630	0.109375884
631	0.1092367797
632	0.109183254
633	0.1090747807
634	0.1089638378
635	0.1088301606
636	0.108696934
637	0.1085744324
638	0.1084624347
639	0.1083813233
640	0.108324758
641	0.1082445538
642	0.1082255263
643	0.1081196504
644	0.1080383426
645	0.1078804885
646	0.1077559654
647	0.1076700398
648	0.1075659148
649	0.1074922406
650	0.1074363431
651	0.1072453037
652	0.1072068031
653	0.1070557389
654	0.1069305714
655	0.1068720571
656	0.106790754
657	0.1066440972
658	0.1066035551
659	0.1065022568
660	0.1063944024
661	0.1063624609
662	0.1062573374
663	0.1062287916
664	0.1061424086
665	0.1060421455
666	0.1059247631
667	0.1058268349
668	0.1056874079
669	0.1055770034
670	0.1054991846
671	0.105418849
672	0.1053486091
673	0.1052422572
674	0.1051377449
675	0.1050647175
676	0.1050403353
677	0.1048889537
678	0.1047819928
679	0.1046248724
680	0.1045525206
681	0.1044665535
682	0.1044007944
683	0.1043534119
684	0.1042061334
685	0.104075945
686	0.1039995354
687	0.1039039454
688	0.1038311465
689	0.1037730882
690	0.1037184332
691	0.1036517112
692	0.1035590264
693	0.103541147
694	0.1034499066
695	0.1033757017
696	0.103262799
697	0.1032177379
698	0.1031455725
699	0.103003363
700	0.1029045292
701	0.1027740841
702	0.1026797448
703	0.102578525
704	0.1024738108
705	0.1023918676
706	0.1022687605
707	0.1021836441
708	0.1020847328
709	0.101922352
710	0.1018343252
711	0.1017503916
712	0.1016374362
713	0.1016013991
714	0.1015048177
715	0.1014817037
716	0.1014000223
717	0.101348931
718	0.1012204747
719	0.1011305938
720	0.1010947239
721	0.1010190518
722	0.1008916135
723	0.1008100925
724	0.1007132846
725	0.1006550229
726	0.1005504613
727	0.10046265
728	0.1004013249
729	0.1003487384
730	0.1003222196
731	0.1002374336
732	0.1001583
733	0.1001156705
734	0.1000354878
735	0.09994237097
736	0.09984488715
737	0.09974886682
738	0.09969148053
739	0.09958855778
740	0.09954634605
741	0.09938311964
742	0.09933206728
743	0.09927492452
744	0.09922168894
745	0.09915628642
746	0.09906751346
747	0.09899309489
748	0.09895429749
749	0.09886124749
750	0.09879157171
751	0.09868356821
752	0.0986391436
753	0.09855873719
754	0.09848493022
755	0.09839666331
756	0.0983648743
757	0.09829448343
758	0.09823608674
759	0.09807725446
760	0.0980254227
761	0.09793502078
762	0.09786909304
763	0.09784395165
764	0.09776784662
765	0.09768811962
766	0.09763264527
767	0.09757681587
768	0.09752096509
769	0.0974439901
770	0.09732119668
771	0.09724486685
772	0.09718574845
773	0.09710384693
774	0.09697979431
775	0.09689131331
776	0.09679540313
777	0.09672888059
778	0.09668334685
779	0.09661084625
780	0.09656769315
781	0.09646770768
782	0.09641030336
783	0.09633316193
784	0.09626886107
785	0.09619467583
786	0.0961117734
787	0.09604090656
788	0.09593570611
789	0.09588510799
790	0.09576058945
791	0.09569587702
792	0.09560136582
793	0.09557178124
794	0.09550260016
795	0.09544513445
796	0.09537513801
797	0.09527990279
798	0.09520704896
799	0.09512911246
800	0.09507392222
801	0.09500427287
802	0.0949315118
803	0.09488418372
804	0.09485308983
805	0.09481039695
806	0.09473427048
807	0.09465994328
808	0.09462475334
809	0.09456873193
810	0.09448895927
811	0.09444548338
812	0.09432444496
813	0.09425196605
814	0.09420056921
815	0.09414621141
816	0.09407748792
817	0.09404583173
818	0.0939510979
819	0.09388204805
820	0.09381741519
821	0.09371416363
822	0.09364506666
823	0.09359164237
824	0.09355486319
825	0.09351835814
826	0.09346996967
827	0.09342381649
828	0.09339035484
829	0.09330734506
830	0.09322798131
831	0.09317356906
832	0.09311431487
833	0.09304237271
834	0.09295395102
835	0.0928443624
836	0.09275045222
837	0.09272794118
838	0.09266015952
839	0.09262170187
840	0.09253657886
841	0.09248884011
842	0.09242349018
843	0.09235606461
844	0.09225981833
845	0.0922127479
846	0.09215492857
847	0.09209929623
848	0.09204770196
849	0.09198395695
850	0.09191208926
851	0.09188748065
852	0.09182694179
853	0.09177329312
854	0.09170258791
855	0.09163629591
856	0.0915721304
857	0.09155164804
858	0.09150129015
859	0.09142940413
860	0.09140088799
861	0.0912766649
862	0.09116806495
863	0.09110527159
864	0.09106085219
865	0.09103639304
866	0.09096263742
867	0.09088317303
868	0.09084760712
869	0.09079997933
870	0.09077485425
871	0.09073131197
872	0.09066873574
873	0.09060453219
874	0.09055089695
875	0.09049122194
876	0.09044380659
877	0.09038879588
878	0.0903521553
879	0.09031476464
880	0.09026483422
881	0.09021572074
882	0.09017816538
883	0.09012418925
884	0.09006968806
885	0.08999432261
886	0.08990988591
887	0.08982782589
888	0.08978116877
889	0.08973133565
890	0.08968184739
891	0.08960553172
892	0.08953497076
893	0.08948456384
894	0.08943397173
895	0.08931000104
896	0.08925727757
897	0.08922673795
898	0.0891435376
899	0.08906548206
900	0.08902326606
901	0.08897138654
902	0.08894554638
903	0.08884539368
904	0.08882075816
905	0.08877743032
906	0.0887203844
907	0.08865911688
908	0.0885814379
909	0.08849565264
910	0.08842941493
911	0.08839096709
912	0.08831913275
913	0.08825791959
914	0.08816733559
915	0.08811163112
916	0.08807138131
917	0.08800509397
918	0.08796277412
919	0.08790162051
920	0.08786106762
921	0.0878124386
922	0.08773938329
923	0.08769999793
924	0.08762484581
925	0.08758257705
926	0.0875393671
927	0.08744578289
928	0.08738543898
929	0.08731210696
930	0.08727010863
931	0.08722727129
932	0.08715159185
933	0.08708339521
934	0.08702883656
935	0.08699742184
936	0.08694019353
937	0.08689224196
938	0.08681280143
939	0.0867395489
940	0.08666499193
941	0.0866129194
942	0.08658363822
943	0.08656809506
944	0.08650466178
945	0.08641624878
946	0.08634897709
947	0.08630161597
948	0.08625281349
949	0.08619089731
950	0.08615034198
951	0.08610939162
952	0.08604591651
953	0.08601255126
954	0.08598444451
955	0.08591953981
956	0.08587243039
957	0.08582831392
958	0.08576804407
959	0.08571605576
960	0.08565655799
961	0.08557624134
962	0.08553159197
963	0.08546335037
964	0.08541737684
965	0.08538278718
966	0.08529514995
967	0.08522807235
968	0.08517252598
969	0.08512336348
970	0.08507219383
971	0.08500634022
972	0.0849715558
973	0.08492182846
974	0.08485146623
975	0.08478102601
976	0.08473194169
977	0.08466372417
978	0.08462049194
979	0.08457223433
980	0.08451002143
981	0.08449364282
982	0.08442374654
983	0.08436718446
984	0.08431392275
985	0.08428802603
986	0.08426325073
987	0.08423815267
988	0.08412280355
989	0.08406680158
990	0.08403543519
991	0.08399289998
992	0.08394761925
993	0.08390720015
994	0.08383405208
995	0.08377588821
996	0.08369174193
997	0.08366186741
998	0.08357714964
999	0.08354304735
