iter	Passed	Remaining
416	2739	3829
417	2745	3822
418	2751	3814
419	2757	3807
420	2763	3800
421	2769	3793
422	2775	3786
423	2781	3778
424	2787	3770
425	2793	3763
426	2799	3756
427	2805	3750
428	2812	3742
429	2818	3736
430	2824	3729
431	2830	3721
432	2836	3714
433	2842	3707
434	2848	3699
435	2854	3692
436	2859	3684
437	2865	3676
438	2872	3670
439	2878	3663
440	2884	3656
441	2890	3649
442	2896	3642
443	2902	3635
444	2909	3628
445	2915	3621
446	2921	3614
447	2927	3607
448	2933	3600
449	2939	3593
450	2945	3585
451	2952	3578
452	2957	3571
453	2963	3564
454	2969	3556
455	2975	3549
456	2981	3542
457	2987	3535
458	2993	3528
459	2999	3520
460	3005	3513
461	3011	3506
462	3017	3499
463	3023	3492
464	3029	3485
465	3035	3478
466	3041	3471
467	3047	3464
468	3053	3457
469	3060	3451
470	3066	3444
471	3072	3437
472	3078	3430
473	3084	3423
474	3090	3416
475	3096	3409
476	3103	3402
477	3109	3396
478	3116	3389
479	3122	3382
480	3128	3375
481	3134	3368
482	3139	3361
483	3146	3354
484	3151	3346
485	3157	3339
486	3164	3333
487	3170	3326
488	3176	3319
489	3182	3312
490	3188	3305
491	3195	3299
492	3201	3292
493	3207	3285
494	3213	3278
495	3219	3271
496	3225	3264
497	3231	3257
498	3237	3250
499	3243	3243
500	3250	3237
501	3255	3229
502	3261	3222
503	3267	3216
504	3273	3208
505	3279	3201
506	3286	3195
507	3292	3188
508	3297	3181
509	3307	3178
510	3314	3171
511	3320	3165
512	3326	3158
513	3332	3151
514	3338	3143
515	3344	3136
516	3350	3130
517	3357	3123
518	3362	3116
519	3369	3110
520	3375	3103
521	3381	3096
522	3387	3089
523	3393	3082
524	3399	3075
525	3405	3068
526	3411	3061
527	3417	3055
528	3424	3048
529	3430	3041
530	3436	3035
531	3442	3028
532	3448	3021
533	3454	3014
534	3460	3007
535	3466	3000
536	3472	2993
537	3478	2987
538	3484	2980
539	3490	2973
540	3499	2968
541	3505	2962
542	3511	2955
543	3517	2948
544	3524	2942
545	3529	2935
546	3535	2928
547	3541	2921
548	3547	2914
549	3553	2907
550	3559	2900
551	3565	2893
552	3571	2887
553	3577	2880
554	3583	2873
555	3589	2866
556	3595	2859
557	3601	2853
558	3608	2846
559	3614	2839
560	3620	2833
561	3626	2826
562	3632	2819
563	3639	2813
564	3645	2807
565	3651	2800
566	3657	2793
567	3664	2786
568	3670	2780
569	3676	2773
570	3682	2766
571	3688	2759
572	3694	2752
573	3700	2746
574	3706	2739
575	3713	2733
576	3719	2726
577	3725	2720
578	3731	2713
579	3737	2706
580	3743	2699
581	3750	2693
582	3756	2686
583	3762	2679
584	3768	2673
585	3774	2666
586	3780	2659
587	3786	2652
588	3792	2646
589	3797	2639
590	3803	2632
591	3809	2625
592	3815	2619
593	3822	2612
594	3828	2605
595	3834	2599
596	3840	2592
597	3846	2585
598	3852	2579
599	3859	2572
600	3865	2566
601	3871	2559
602	3877	2552
603	3882	2545
604	3889	2539
605	3896	2533
606	3902	2526
607	3908	2519
608	3913	2512
609	3919	2506
610	3926	2499
611	3932	2493
612	3938	2486
613	3944	2479
614	3950	2473
615	3957	2466
616	3963	2460
617	3969	2453
618	3975	2446
619	3981	2440
620	3987	2433
621	3994	2427
622	4000	2420
623	4006	2414
624	4013	2407
625	4019	2401
626	4025	2394
627	4031	2387
628	4037	2381
629	4044	2375
630	4070	2380
631	4084	2378
632	4099	2376
633	4105	2370
634	4111	2363
635	4117	2356
636	4124	2350
637	4130	2343
638	4137	2337
639	4146	2332
640	4153	2326
641	4159	2319
642	4165	2312
643	4171	2306
644	4177	2299
645	4183	2292
646	4189	2285
647	4196	2279
648	4202	2272
649	4208	2266
650	4214	2259
651	4220	2252
652	4227	2246
653	4233	2239
654	4239	2232
655	4245	2226
656	4251	2219
657	4258	2213
658	4263	2206
659	4270	2199
660	4276	2193
661	4282	2186
662	4288	2179
663	4295	2173
664	4301	2167
665	4307	2160
666	4313	2153
667	4319	2146
668	4325	2140
669	4332	2133
670	4338	2127
671	4344	2120
672	4350	2113
673	4356	2107
674	4362	2100
675	4368	2093
676	4374	2087
677	4380	2080
678	4386	2073
679	4392	2067
680	4398	2060
681	4404	2053
682	4411	2047
683	4417	2040
684	4422	2033
685	4428	2027
686	4434	2020
687	4440	2013
688	4446	2007
689	4452	2000
690	4459	1993
691	4465	1987
692	4471	1980
693	4477	1974
694	4483	1967
695	4490	1961
696	4496	1954
697	4502	1948
698	4508	1941
699	4514	1934
700	4520	1928
701	4526	1921
702	4532	1914
703	4538	1908
704	4544	1901
705	4550	1894
706	4555	1888
707	4562	1881
708	4568	1874
709	4574	1868
710	4580	1861
711	4586	1855
712	4592	1848
713	4598	1842
714	4604	1835
715	4611	1829
716	4617	1822
717	4623	1815
718	4629	1809
719	4635	1802
720	4641	1796
721	4648	1789
722	4653	1783
723	4659	1776
724	4666	1770
725	4672	1763
726	4678	1756
727	4685	1750
728	4691	1744
729	4697	1737
730	4703	1730
731	4710	1724
732	4716	1717
733	4722	1711
734	4728	1704
735	4734	1698
736	4740	1691
737	4746	1685
738	4752	1678
739	4758	1671
740	4764	1665
741	4770	1658
742	4776	1652
743	4782	1645
744	4788	1639
745	4794	1632
746	4800	1625
747	4806	1619
748	4812	1612
749	4818	1606
750	4824	1599
751	4830	1592
752	4836	1586
753	4842	1579
754	4848	1573
755	4854	1566
756	4860	1560
757	4866	1553
758	4872	1547
759	4878	1540
760	4886	1534
761	4892	1528
762	4898	1521
763	4904	1514
764	4910	1508
765	4916	1501
766	4922	1495
767	4928	1488
768	4934	1482
769	4940	1475
770	4946	1469
771	4953	1462
772	4959	1456
773	4965	1449
774	4971	1443
775	4978	1436
776	4984	1430
777	4990	1424
778	4996	1417
779	5003	1411
780	5009	1404
781	5015	1398
782	5021	1391
783	5027	1385
784	5033	1378
785	5039	1372
786	5045	1365
787	5052	1359
788	5059	1352
789	5065	1346
790	5071	1339
791	5077	1333
792	5086	1327
793	5092	1321
794	5098	1314
795	5104	1308
796	5110	1301
797	5116	1295
798	5122	1288
799	5128	1282
800	5134	1275
801	5140	1269
802	5146	1262
803	5153	1256
804	5159	1249
805	5165	1243
806	5171	1236
807	5177	1230
808	5183	1223
809	5189	1217
810	5195	1210
811	5201	1204
812	5207	1197
813	5213	1191
814	5218	1184
815	5224	1178
816	5230	1171
817	5236	1165
818	5242	1158
819	5249	1152
820	5255	1145
821	5261	1139
822	5267	1132
823	5273	1126
824	5279	1119
825	5286	1113
826	5292	1107
827	5298	1100
828	5304	1094
829	5310	1087
830	5316	1081
831	5322	1074
